"Taxon","pval","qval","lfc"
"UniRef90_A0A250FRI5",0.00538438297395523,0.737660467431867,0.878574294570876
"UniRef90_A0A2N6TFM9",0.00389969850533782,0.542058092241956,1.38953236031628
"UniRef90_A5TTJ2",0.00804546548466009,1,0.940582605760832
"UniRef90_F0IDH7",0.0169198186374834,1,0.759946160946163
"UniRef90_L1NXR5",0.0323388152504996,1,0.785349798375827
"UniRef90_L1PPR7",0.0431109819518818,1,-1.25231905147515
"UniRef90_U1QIV9",0.00221069846959509,0.309497785743313,1.01021622391548
"UniRef90_A0A241Q4L3",0.000838173345809976,0.118182441759207,1.40586494927427
"UniRef90_A0A2C5ZYQ6",0.0375360347087887,1,1.2308211057798
"UniRef90_A0A2C6BV61",0.0232551036267761,1,1.56145693077462
"UniRef90_A0A2C6C3I1",0.00726475181567398,0.988006246931662,1.09681895694777
"UniRef90_A0A2G9FAK1",0.00425328083082402,0.586952754653715,1.06697447407683
"UniRef90_A5TV72",0.0110109395778836,1,1.61633815178774
"UniRef90_D3IMD8",0.0155632581586261,1,0.793742259783732
"UniRef90_E7RY83",0.012107387115915,1,1.02938182081646
"UniRef90_L1NTI4",0.0387010930978541,1,0.937796658953285
"UniRef90_L1P8R8",0.0165575416085594,1,-1.23116417934631
"UniRef90_L1PDL4",0.0145823193824622,1,0.917920318926144
"UniRef90_Q7P652",0.00991578055510976,1,0.794614734625586
"UniRef90_U1QXW4",0.0161552786168908,1,0.748499582895437
"UniRef90_U1R3T5",0.000690732078650041,0.0980839551683059,1.32657274449457
"UniRef90_U2AZB2",0.0266589365051822,1,0.71782853775354
"UniRef90_U2BYZ5",0.0337388079105655,1,0.70884765384086
"UniRef90_U2LXT4",0.0281336128739793,1,0.870970952839761
"UniRef90_UPI0007E347B6",0.0203670933552876,1,0.805659549245089
"UniRef90_W2CGF0",0.0150725422533162,1,0.924250201706745
