"Taxon","pval","qval","lfc"
"UniRef90_A0A096ASI9",0.037811954547959,1,-1.27558062933977
"UniRef90_A0A0F7Z8Y0",0.396057992367479,1,-0.385234491159761
"UniRef90_A0A0M3UUY0",0.291972245919307,1,-0.581802264796296
"UniRef90_A0A1B8QRC9",0.668002200140552,1,0.137311747092562
"UniRef90_A0A1B8QRH7",0.436914801582899,1,-0.326922992437446
"UniRef90_A0A1F0NNR7",0.3048121833494,1,-0.787386009697553
"UniRef90_A0A250FRI5",0.203100549847718,1,0.482227196986779
"UniRef90_A0A2B7YWA6",0.218452723954934,1,-0.559613553777367
"UniRef90_A0A2C6BMA4",0.0127460967942992,1,-2.27781992181717
"UniRef90_A0A2K9HFI3",0.786708447316208,1,0.0859794708073366
"UniRef90_A0A2N6TFM9",0.243836886692167,1,0.561552762349366
"UniRef90_C4GHH1",0.344007196526865,1,-0.579315907169211
"UniRef90_C8PQ97",0.786711302281495,1,0.0765902186320247
"UniRef90_C9MVA3",0.833605485906172,1,0.0644795721871011
"UniRef90_E1KT92",0.841548108029519,1,-0.169043068501775
"UniRef90_E8KF34",0.00178501987792078,0.285603180467325,-0.942586761361692
"UniRef90_G9ZCM6",0.292860838544741,1,-0.507527065356589
"UniRef90_G9ZG61",0.741890634868738,1,0.108647998950605
"UniRef90_J5VG22",0.138317985786761,1,-0.579095554052201
"UniRef90_L1NXR5",0.458885464241193,1,0.24770920293653
"UniRef90_L1P5L4",0.197098367008733,1,-0.851675038533139
"UniRef90_L1P8P6",0.0148024109378076,1,-1.72213906533191
"UniRef90_L1PPR7",0.0904026551834707,1,-1.06494949555419
"UniRef90_Q9F257",0.203624698110434,1,-0.85516556991797
"UniRef90_Q9F266",0.542015368694679,1,-0.363247223298261
"UniRef90_S4W8X7",0.386945502117542,1,-0.47310599327227
"UniRef90_U1PUH2",0.0394010094201983,1,-1.16250080983355
"UniRef90_U1QIV9",0.0924921775896336,1,0.509932172549958
"UniRef90_U1QYG9",0.309483015106866,1,0.306809827906537
"UniRef90_U1R1G6",0.224858451043066,1,0.409727055494827
"UniRef90_U1SCT2",0.252139415632643,1,-0.492963927382673
"UniRef90_U2AV38",0.714605766908397,1,0.111778199695064
"UniRef90_U2BY07",0.172264970940252,1,-0.87637909072729
"UniRef90_U2KL13",0.851941367473954,1,-0.123502432084749
"UniRef90_U2KPX2",0.300726587077038,1,-0.656081208160989
"UniRef90_U2PVL1",0.592382227606392,1,0.182419856949269
"UniRef90_U2SWN1",0.0572658958202549,1,-0.935998167417853
"UniRef90_UPI00025E28F5",0.396574965009486,1,-0.701213770757063
"UniRef90_UPI00066D2D1E",0.588049465650765,1,0.17627850453551
"UniRef90_V2Y5D6",0.366651373879917,1,-0.382442095109292
"UniRef90_W2CTK3",0.433016694325621,1,-0.356219485546708
"UniRef90_X8HL68",0.764792028996463,1,0.0923080793216493
"UniRef90_A0A069QGQ9",0.344145273771587,1,-0.936553005594872
"UniRef90_A0A0K8RT54",0.318812364754954,1,-0.608228424333155
"UniRef90_A0A0R3PIN0",0.742056147852498,1,-0.191246235121536
"UniRef90_A0A0S2ZM78",0.0632280426490962,1,-1.25674408801283
"UniRef90_A0A0X8JSY8",0.61850379482344,1,0.446302262791645
"UniRef90_A0A133ZXA4",0.301897624118931,1,-0.493710166276057
"UniRef90_A0A134A108",0.346416891122618,1,-0.442918345574758
"UniRef90_A0A134A2L4",0.533966002899388,1,-0.527559595772784
"UniRef90_A0A134A313",0.0430031252031766,1,-1.15238315499286
"UniRef90_A0A134AMZ8",0.299634946587558,1,0.28037811171618
"UniRef90_A0A222PBB6",0.321879636912834,1,-0.755611413589123
"UniRef90_A0A241Q2B3",0.553942236388606,1,0.421340339849584
"UniRef90_A0A241Q4K7",0.8222448137488,1,-0.212965153929962
"UniRef90_A0A241Q4L3",0.727807451674135,1,0.115805091140844
"UniRef90_A0A246EF94",0.382436622275532,1,-0.442280717023291
"UniRef90_A0A250FBG1",0.903066438027113,1,-0.0612691580417236
"UniRef90_A0A250FBH3",0.196895808026527,1,-0.624356955691689
"UniRef90_A0A250FBX2",0.696527734746839,1,-0.205843248091387
"UniRef90_A0A250FNZ8",0.772053046143276,1,0.137573170598837
"UniRef90_A0A2B7YJP5",0.667401904414435,1,-0.282007234041887
"UniRef90_A0A2B7YNI3",0.754739903425169,1,0.0797100338473231
"UniRef90_A0A2B7YS72",0.528798106606157,1,-0.411952724008334
"UniRef90_A0A2B7YY17",0.126483303144576,1,-1.22040159902166
"UniRef90_A0A2C5ZYQ6",0.547731888673867,1,0.34321304949775
"UniRef90_A0A2C6AWI9",0.434645310126165,1,-0.463303729744311
"UniRef90_A0A2C6BV61",0.510052398419619,1,-0.336067187203459
"UniRef90_A0A2D3L920",0.0723055359393114,1,-2.36937173787132
"UniRef90_A0A2D3NWG9",0.264263779116264,1,-0.75732232413025
"UniRef90_A0A2G9F7T9",0.423237420766649,1,0.21959684136396
"UniRef90_A0A2N6TLH8",0.134381717464515,1,-1.58750195664774
"UniRef90_A0A2N6TM57",0.48531823138456,1,-0.566582959579108
"UniRef90_A0A323TX70",0.458383298458713,1,-0.644839096152471
"UniRef90_A5TSM3",0.701730168375915,1,0.212488058472123
"UniRef90_A5TV72",0.161656595039503,1,0.73653770107318
"UniRef90_A5TVF0",0.151439368126775,1,-0.745946755553439
"UniRef90_A5TWG4",0.667988235988209,1,-0.327671131312382
"UniRef90_C2M4X0",0.500337107214382,1,-0.37361329152945
"UniRef90_C9LKJ6",0.0626361300430072,1,-1.13717066620098
"UniRef90_C9MZ41",0.673925681810716,1,-0.179526813122654
"UniRef90_C9MZK9",0.812846137982015,1,0.0700453532939871
"UniRef90_D2ENY9",0.32839719749845,1,-0.671904965286788
"UniRef90_D3IF56",0.752695566762709,1,-0.149645136914525
"UniRef90_D3IKE1",0.770845202114441,1,-0.117108599182946
"UniRef90_D3IKU4",0.779752568676081,1,0.236174312230911
"UniRef90_D3IMD8",0.533816416256303,1,0.18171771659069
"UniRef90_D3QZD1",0.157331313562502,1,-0.802721769963675
"UniRef90_D4CSV9",0.21847959951505,1,-0.367994008939919
"UniRef90_D7JCF7",0.184781370795349,1,-0.454665830977386
"UniRef90_D7NFI9",0.047356008735422,1,-1.52528091239701
"UniRef90_E0DFE6",0.156221632602094,1,-0.939275564452939
