"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_C6M782",0,0,0,0,0,0,0,0,0,0,0,53.521081186,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C7NA43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9444444444,0,0,0,0,0
"UniRef90_C7NBR1",0,0,0,0,4.4444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3846153846,0,0,0
"UniRef90_C7NDY4",0,0,0,0,0,0,0,0,0,11.845289518,0,0,16.2477943238,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C7XP78",0,0,0,0,0,0,0,0,0,16.6011086821,0,0,22.7304418054,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C7XSM7",0,0,0,0,0,0,0,0,0,9.7810153886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9LXN7",0,0,0,0,0,0,0,0,0,0,0,0,7.9365079365,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9MZC8",0,0,0,0,0,0,0,0,0,0,2.0369697435,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D0GMY5",0,0,0,0,0,13.2450331126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D0W442",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0764270546,0,0,0,0,0
"UniRef90_D4S485",0,0,0,0,0,0,0,0,0,0,0,0,3.9943122474,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D4S6R9",0,0,0,0,0,0,0,0,0,0,0,0,4.0499589345,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D5K9G5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.3769980863,0
"UniRef90_D6LFK6",0,0,0,0,0,0,0,0,0,0,15.1515151515,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E6KT84",0,0,0,0,0,0,0,0,0,0,30.195114798,0,0,0,0,0,0,0,0,23.9944671344,0,0,0,0
"UniRef90_E6KU17",0,0,0,0,0,0,0,0,0,0,82.7676992061,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7MKL2",0,0,0,0,0,0,0,0,0,10.1245912289,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7N0X4",0,0,0,54.8048048048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7N2G7",0,0,0,8.31604426,0,0,0,0,0,0,0,0,5.908432389,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7N3N6",0,0,0,35.0877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7N3V3",0,0,0,54.6536796537,0,0,0,0,0,0,0,0,11.6963064295,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7N400",0,0,7.4766616356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4719664646,5.4719664646
"UniRef90_E7RVW1",15.0945545682,0,0,0,0,0,0,0,0,0,0,90.2289645416,0,0,0,0,0,60.3237892712,0,0,7.5757575758,0,0,0
"UniRef90_E7RXF4",23.2241796888,0,0,0,0,0,0,0,0,0,0,25.974025974,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RZF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333
"UniRef90_E7RZV7",0,0,0,0,0,0,0,0,0,0,0,21.2772931354,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7S0K7",0,0,0,0,0,0,10.752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F0F2M7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.164115254,0,0,0,0,0,0
"UniRef90_F0YW75",0,0,0,0,0,0,4.1389349193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F2BD99",0,0,0,0,0,0,0,0,0,0,15.4890272979,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F3AZB3",0,0,0,0,0,0,0,0,0,0,0,0,24.3246787307,0,0,0,0,0,4.5045045045,0,0,0,0,0
"UniRef90_F3B223",0,0,0,0,0,0,0,0,0,0,0,0,21.3095492416,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F3B3C8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4388185654,0,0,0
"UniRef90_F5RMQ7",0,0,0,0,0,0,0,0,0,51.9480519481,0,0,0,0,0,0,0,0,0,0,0,11.4285714286,0,0
"UniRef90_F7L1Y5",0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9HHT9",0,0,0,25.641025641,0,0,0,0,0,0,25.641025641,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_F9P9N7",0,0,0,0,0,0,0,0,0,0,0,0,0,44.738674531,0,0,0,0,0,0,0,0,0,0
"UniRef90_G1WBP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1334111736
"UniRef90_G5GHT3",0,0,0,0,0,0,0,0,0,19.2461908581,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G5GIF6",0,0,0,0,0,0,0,0,0,11.2994350282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G5GJU2",0,0,0,0,0,0,0,0,0,40.9700002872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G5H491",0,0,0,0,0,0,0,0,0,0,0,0,10.6652110217,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G9YJV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.7037037037,0,0,0,0
"UniRef90_G9YJW2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.1282051282,0,0,0,0,0,0,0,0
"UniRef90_G9ZDE5",0,0,12.987012987,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5135135135,0,0,0,0,0,0,0
"UniRef90_G9ZEQ7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5693779904,0,0,0
"UniRef90_G9ZH39",0,0,0,8.4929135562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_G9ZJL7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2307692308,0,0,0,0,0,0,0,0
"UniRef90_H1LSA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6497175141,0
"UniRef90_H1LUP6",0,27.0447703583,39.5996935354,23.0426383652,0,0,9.1324200913,0,0,0,0,0,0,0,0,0,0,0,0,32.301125376,0,0,0,0
"UniRef90_H1LVS8",0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.1212121212,0
"UniRef90_H1LVY2",0,0,9.4339622642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_I0R4I6",0,4.9079828492,50.4626957735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7328786587,0,0,0,0
"UniRef90_I0R6Y7",0,0,0,0,0,0,35.7947232947,0,0,0,0,0,24.1605241605,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_I0RBR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8163265306,0,0,0,0,0,0,0,0,0
"UniRef90_I2NRJ2",0,0,0,0,0,0,0,0,0,8.4389688079,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J0N2U1",0,0,15.037593985,0,0,33.3333333333,0,0,0,0,0,32.2580645161,0,0,0,0,0,0,0,0,0,0,0,33.3333333333
"UniRef90_J0NDK0",0,0,0,0,0,0,0,0,0,0,9.0909090909,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J0SP23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9969328772
"UniRef90_J0WR50",0,0,0,0,0,0,0,0,0,0,0,181.8181818182,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_J3C4C3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6054421769,0,0,0,0,0,0,0,0
"UniRef90_J4KDX8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3333333333,0,0,0,0,0,0,0,0,0
"UniRef90_J5GL04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291005291
"UniRef90_J5XKN5",0,0,0,0,0,0,0,0,0,5.44995545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
