"gene_family","SRR23351002","SRR23351003","SRR23351004","SRR23351005","SRR23351006","SRR23351007","SRR23351008","SRR23351009","SRR23351010","SRR23351011","SRR23351012","SRR23351013","SRR23351014","SRR23351015","SRR23351016","SRR23351017","SRR23351018","SRR23351019","SRR23351020","SRR23351021","SRR23351022","SRR23351023","SRR23351024","SRR23351025"
"UniRef90_C7M925",0,0,0,0,0,0,0,0,0,0,0,0,18.6801950606,0,28.139173488,0,0,0,0,0,0,0,0,0
"UniRef90_C7NCV1",0,0,0,0,0,0,0,0,0,0,0,0,21.5551974214,0,0,0,0,0,39.4851323772,0,0,0,0,0
"UniRef90_C8NB72",0,0,0,0,0,0,0,0,14.2864431859,0,0,0,0,0,8.3860759494,0,0,0,0,0,0,0,0,0
"UniRef90_C8NDE1",0,0,0,0,16.4538225557,0,0,0,0,0,0,0,17.3911162404,0,0,0,0,0,0,0,14.392409225,0,0,0
"UniRef90_C8NI31",0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C8PRM6",0,0,0,0,0,0,0,0,0,10.6101542272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C8PT33",0,0,0,0,0,0,0,0,0,18.018018018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C8PT34",0,0,0,0,0,0,0,0,0,0,0,0,10.5263157895,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9LKJ6",0,0,0,0,0,0,0,0,0,35.0877192982,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9LRY1",0,0,0,7.9083872882,0,0,0,0,0,9.757696182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9LS34",0,0,0,0,0,0,0,0,0,0,0,0,13.8888888889,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9MQ22",0,21.3573801614,0,21.572645885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9MUM6",0,0,0,0,0,0,0,19.4174757282,0,0,0,0,0,0,38.7517466232,0,25.0156347717,0,0,25.4787406686,0,0,0,0
"UniRef90_C9MUM7",0,0,0,0,0,0,0,0,16.5300546448,8.2644628099,0,0,0,0,0,0,0,0,0,48.0392156863,0,0,0,0
"UniRef90_C9MWN9",0,0,0,0,0,0,0,0,0,0,0,0,8.064516129,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_C9MZ41",0,0,17.5438596491,3.7347217932,0,0,0,60.6060606061,0,0,30.303030303,0,0,0,0,0,0,0,0,0,14.2857142857,0,0,0
"UniRef90_C9MZC7",0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,11.2684103606,0,0,0,0,10.9289617486
"UniRef90_C9MZK9",0,0,0,0,0,0,0,10.8959156785,0,82.03333376,18.8612257578,0,0,0,0,0,11.2676950422,0,0,0,0,0,0,0
"UniRef90_D2ENY9",23.5294117647,0,0,0,0,0,0,291.4439983181,0,0,4030.3814222301,0,0,0,7250.0624466184,57.7235772358,0,0,0,12.9032258065,0,3276.7839941899,0,0
"UniRef90_D2ZT21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.5198742577,67.3457838144,0,0,0,0,65.2379484017
"UniRef90_D2ZT22",0,0,0,0,0,0,0,0,0,0,0,8.1300813008,0,0,0,0,0,153.3878559296,15.1515151515,0,0,0,16.2601626016,26.2632978723
"UniRef90_D2ZU10",0,0,0,0,0,0,0,0,0,0,0,21.2216900972,0,0,0,0,0,0,0,0,0,0,0,20.7992421799
"UniRef90_D3IF56",0,0,0,0,8.2988980716,0,8.31604426,0,8.3333333333,0,0,0,0,4.1666666667,0,0,0,0,0,0,0,0,0,0
"UniRef90_D3IKE1",0,0,0,0,0,0,0,0,0,0,0,0,16.1871548968,0,10.7817494914,0,0,0,0,0,0,0,0,0
"UniRef90_D3IKU4",0,0,0,0,0,0,0,0,68.3228770598,12.8205128205,0,0,0,0,26.7801164353,13.986013986,0,0,0,54.0696413795,0,0,0,0
"UniRef90_D3ILB5",0,0,0,0,20.2255398804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D3IMD7",0,0,0,0,0,0,0,0,0,0,0,0,18.1726771641,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D3IMD8",0,0,0,0,0,0,0,0,14.6654815772,0,0,0,11.0024779142,14.6924154277,35.9936316022,0,0,0,0,33.0479328171,0,0,0,0
"UniRef90_D3QZD1",0,115.4852849734,89.353672224,125.6289450608,0,28.9855072464,33.2998240764,0,0,28.3816425121,0,0,0,0,0,0,0,0,0,33.097404786,0,0,14.4406214159,0
"UniRef90_D4CSV9",0,0,20.0161922591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D4CYP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9467918623,0,0,0,0,0
"UniRef90_D4S3H0",0,0,0,16.9491525424,0,0,0,0,0,0,0,0,8.2644628099,0,0,0,0,0,0,0,0,0,0,4.329004329
"UniRef90_D4S3Z0",0,0,0,0,0,0,0,0,43.961352657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D4S830",0,0,0,8.7160863063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7JCF4",0,0,0,0,0,0,0,0,0,0,0,0,0,66.5312570526,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7JCF6",0,0,0,0,0,0,0,0,0,15.3733098178,0,0,0,49.2983876408,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7JCF7",0,0,0,0,0,0,0,0,0,142.5821762778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7JCK2",0,0,0,0,0,0,0,0,0,0,0,0,0,11.5598577382,0,0,0,0,0,0,7.5903649131,0,0,0
"UniRef90_D7JH52",0,0,0,0,43.4782608696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7NDE7",0,0,0,0,0,0,0,0,15.7480314961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_D7NFI9",0,0,0,0,0,7.4074074074,14.653784219,0,0,0,72.8103385252,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E0DE64",0,13.1053364361,23.3153352035,0,20.8841978154,30.2716887562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6495542171,0
"UniRef90_E0DE79",0,0,0,0,0,33.3709115247,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3830513005,15.8526642085,0,0,0
"UniRef90_E0DE94",21.0623794566,0,14.7520361878,0,0,30.1680774807,11.1378526712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E0DFE6",0,64.3456581108,127.4993750665,36.6942219719,11.2324547587,134.6272051676,20.5817625095,14.9394650945,61.6689114244,31.669508455,45.6484753532,62.9652686756,44.1276772615,0,35.0079312423,7.3489219557,87.1170291502,0,0,60.2568686377,14.960349842,33.4746754942,22.2704584098,23.6062769308
"UniRef90_E0DHH0",0,0,333.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E0DHI2",31.498015873,0,47.619047619,0,0,88.8159430439,0,31.498015873,0,31.498015873,0,31.498015873,0,0,0,22.2222222222,20.202020202,0,0,0,0,0,0,0
"UniRef90_E0DHT7",18.5185185185,18.8679245283,36.7003367003,0,0,211.4186467128,0,18.1818181818,36.3636363636,20.8333333333,90.6492296429,0,65.6858439467,0,0,29.0309106099,0,0,0,36.7003367003,18.1818181818,0,0,0
"UniRef90_E0N6D8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5982687998,0,0,0,0
"UniRef90_E6LKT8",0,67.9653679654,51.2820512821,58.8235294118,0,0,0,0,0,37.6559714795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E6LKU2",0,0,0,0,22.7272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E6LLD9",0,16.4122642064,17.0616420616,0,0,0,0,0,0,34.6918962126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E6LMB2",0,0,0,0,0,0,0,0,0,0,16.2109223613,0,8.1136236464,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E6LSA8",0,0,20.5133599832,10.4166666667,0,0,0,0,0,20.8333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RTK5",0,0,0,0,0,0,0,0,0,0,0,17.2043806423,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RTK6",0,0,0,0,0,0,34.188034188,0,0,0,0,8.6956521739,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_E7RTK7",0,0,0,0,7.0921985816,0,0,0,0,0,0,0,0,0,0,0,0,14.0845070423,0,0,0,0,0,0
