"gene_family","SRR14127885","SRR14127886","SRR14127887","SRR14127888","SRR14127889","SRR14127890","SRR14127891","SRR14127893","SRR14127894","SRR14127895","SRR14127896","SRR14127897","SRR14127898","SRR14127899","SRR14127900","SRR14127901","SRR14127902","SRR14127904","SRR14127905","SRR14127907","SRR14127931","SRR14127932","SRR14127933","SRR14127934","SRR14127935","SRR14127936","SRR14127937","SRR14127939","SRR14127940","SRR14127941","SRR14127942","SRR14127943","SRR14127944","SRR14127945","SRR14127946","SRR14127947","SRR14127948","SRR14127950","SRR14127951","SRR14128067","SRR14128068","SRR14128069","SRR14128070","SRR14128072","SRR14128073","SRR14128074","SRR14128075","SRR14128076","SRR14128077","SRR14128078","SRR14128079","SRR14128080","SRR14128081","SRR14128083","SRR14128085","SRR14128111","SRR14128112","SRR14128113","SRR14128114","SRR14128115","SRR14128116","SRR14128117","SRR14128118","SRR14128120","SRR14128121","SRR14128122","SRR14128123","SRR14128124","SRR14128125","SRR14128126","SRR14128127","SRR14128128","SRR14128130","SRR14128131","SRR14128132","SRR14128134"
"UniRef90_L1M9B3",0,0,0,0,0,0,0,0,0,0,10.752688172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.8163265306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MBX8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6672283199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MCG2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7834189162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1MFV8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3202512037,0,0,0,0,0,0,0,0,0,0,0,14.781724111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1NIF8",0,0,0,0,0,0,0,0,0,0,0,0,29.4181267575,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.1878841089,0,0,0,0,27.2849462366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9523809524,0,0,0,0,0,0,0
"UniRef90_L1NPP8",19.0705128205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222222222,0,0,0,0,0,0,0,0,0,0,0,25.8296462027,0,0,0,0,0,0,0,0,0,0,0,0,0,31.969622734
"UniRef90_L1NQ05",0,0,0,22.7272727273,0,0,0,0,0,0,0,0,178.2405415158,0,44.6054895114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.885376291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2760942761,0,87.0657797487,0,129.2389020457,0,0,0,18.1818181818,0,0,0,0,0,0,18.5185185185,0,17.5438596491,51.6308119362,94.2569053905,0
"UniRef90_L1NR45",0,0,0,0,0,0,0,0,0,0,4.9751243781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UniRef90_L1NSG6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9885057471,0,0,0,0,55.1781176582
"UniRef90_L1NTI4",255.5453035732,0,0,0,0,0,0,13.0294542059,0,0,0,0,0,0,0,0,0,23.8095238095,51.5835042151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1111111111,0,0,0,0,0,0,0,22.6776307337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4516129032,0,0,0,0,507.3417743402
